unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759744920.772,120200.772,619447.1067371519,5806174.713914764,41.3,1
1759744920.989,120200.989,619447.0204683975,5806175.206711369,41.27,1
1759744921.192,120201.192,619446.6129709142,5806174.356664926,41.3,1
1759744921.395,120201.395,619446.0229234797,5806174.504462169,41.3,1
1759744921.598,120201.598,619445.7609120692,5806174.845443166,41.3,1
1759744921.8,120201.8,619445.8188534006,5806174.845730167,41.28,1
1759744922.002,120202.002,619445.7288534007,5806174.835730167,41.29,1
1759744922.219,120202.219,619445.9092976735,5806174.838848519,41.3,1
1759744922.421,120202.421,619451.7170910276,5806175.165301381,41.3,1
1759744922.623,120202.623,619451.5670910276,5806175.105301381,41.29,1
1759744922.826,120202.826,619451.7650048933,5806175.838219228,41.32,1
1759744922.826,120202.826,619451.7695284537,5806175.858163576,41.32,1
1759744923.028,120203.028,619447.689859426,5806174.921249534,41.27,1
1759744923.23,120203.23,619446.4359679845,5806174.739484386,41.29,1
1759744923.449,120203.449,619446.9344798053,5806175.326684792,41.29,1
1759744923.652,120203.652,619446.4640867566,5806175.555717558,41.28,1
1759744923.853,120203.853,619446.670824893,5806175.346888308,41.28,1
1759744924.055,120204.055,619446.4695537668,5806175.357911406,41.28,1
1759744924.259,120204.259,619446.7695326391,5806175.809722646,41.29,1
1759744924.46,120204.46,619446.7485905617,5806176.017314619,41.29,1
1759744924.68,120204.68,619446.2203436036,5806176.033284374,41.27,1
1759744924.883,120204.883,619447.8499523257,5806176.4049649155,41.28,1
1759744925.087,120205.087,619446.8658217739,5806175.906177181,41.27,1
1759744925.288,120205.288,619446.7875804834,5806175.6888121255,41.27,1
1759744925.49,120205.49,619446.8074623098,5806175.647779118,41.27,1
1759744925.693,120205.693,619445.7809912437,5806176.7945781555,41.26,1
1759744925.911,120205.911,619446.1324373535,5806176.219846002,41.26,1
1759744926.1,120206.1,619445.4693493096,5806175.782046009,41.25,1
1759744926.32,120206.32,619445.275787347,5806176.004213885,41.25,1
1759744926.524,120206.524,619445.7810038093,5806176.310457998,41.25,1
1759744926.727,120206.727,619446.4012999395,5806175.921244678,41.25,1
1759744926.929,120206.929,619447.6231854246,5806176.558988714,41.25,1
1759744927.131,120207.131,619449.3654206751,5806176.6402350115,41.27,1
1759744927.336,120207.336,619450.2268980669,5806176.7297506835,41.28,1
1759744927.54,120207.54,619450.6126489231,5806177.183330786,41.29,1
1759744927.745,120207.745,619449.8200031525,5806177.23708589,41.28,0
1759744927.949,120207.949,619448.5015021448,5806177.670262503,41.26,0
1759744928.154,120208.154,619447.8240560906,5806179.369700312,41.24,1
1759744928.357,120208.357,619448.0575570685,5806178.024667001,41.28,0
1759744928.562,120208.562,619447.7248600785,5806177.527706705,41.26,1
1759744928.765,120208.765,619447.1662873845,5806178.998790883,41.24,1
1759744928.983,120208.983,619449.0261733303,5806179.668897748,41.25,1
1759744929.184,120209.184,619450.2317727935,5806179.156647461,41.26,1
