unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759745777.531,121617.531,619502.6763719923,5806171.755942799,41.54,1
1759745777.735,121617.735,619501.7016170472,5806171.787957342,41.53,1
1759745777.952,121617.952,619501.7635406568,5806171.534835625,41.53,1
1759745777.952,121617.952,619501.9118815219,5806171.555069776,41.53,1
1759745778.154,121618.154,619501.913126205,5806171.883947855,41.54,1
1759745778.355,121618.355,619501.6366824331,5806171.427794472,41.53,1
1759745778.557,121618.557,619500.4247577703,5806171.6028487235,41.55,1
1759745778.758,121618.758,619499.460311148,5806172.138059278,41.56,1
1759745778.977,121618.977,619499.470311148,5806172.148059279,41.56,1
1759745779.18,121619.18,619498.7430488167,5806171.563811408,41.55,1
1759745779.381,121619.381,619498.7844352871,5806171.435217374,41.56,1
1759745779.584,121619.584,619498.04,5806171.7700000005,41.56,1
1759745779.786,121619.786,619498.0409061129,5806171.714517202,41.56,1
1759745779.989,121619.989,619497.8757706755,5806171.704184803,41.55,1
1759745780.208,121620.208,619498.2119604059,5806172.1781686265,41.57,1
1759745780.41,121620.41,619498.670927031,5806172.483910169,41.57,1
1759745780.613,121620.613,619498.5963439565,5806172.200167124,41.56,1
1759745780.815,121620.815,619498.7748113638,5806171.64179442,41.57,1
1759745781.018,121621.018,619499.5618344286,5806170.322709913,41.56,1
1759745781.222,121621.222,619500.669846117,5806170.441112074,41.57,1
1759745781.423,121621.423,619498.5841396953,5806171.123425645,41.57,1
1759745781.642,121621.642,619496.6107790474,5806172.131988808,41.56,1
1759745781.844,121621.844,619497.5048320852,5806172.458740828,41.56,1
1759745782.047,121622.047,619495.2575453636,5806170.953102816,41.56,1
1759745782.251,121622.251,619495.7912693473,5806170.554882765,41.58,1
1759745782.454,121622.454,619496.9077285638,5806171.1999896495,41.58,1
1759745782.657,121622.657,619497.3693156942,5806172.352504259,41.6,1
1759745782.858,121622.858,619498.2132737497,5806171.73855683,41.59,1
1759745783.077,121623.077,619498.7816997756,5806171.167616241,41.59,1
1759745783.278,121623.278,619498.5966497338,5806171.7887148075,41.56,1
1759745783.48,121623.48,619497.492433339,5806171.586966309,41.58,1
1759745783.681,121623.681,619497.7576713944,5806171.702429337,41.58,1
1759745783.883,121623.883,619496.6254027926,5806171.581791439,41.56,1
1759745784.102,121624.102,619496.3839271023,5806171.7422492355,41.57,1
1759745784.303,121624.303,619496.865823512,5806171.021977658,41.58,1
1759745784.508,121624.508,619496.0376340436,5806170.634678513,41.57,1
1759745784.711,121624.711,619498.1148515536,5806171.375639239,41.6,1
1759745784.912,121624.912,619496.5282312911,5806172.694789642,41.59,1
1759745785.116,121625.116,619496.3348177884,5806172.723573783,41.57,1
1759745785.333,121625.333,619497.4350855564,5806171.658209093,41.57,1
1759745785.536,121625.536,619495.5516269198,5806169.991506619,41.57,1
1759745785.742,121625.742,619495.5276847197,5806171.179148575,41.63,1
1759745785.943,121625.943,619497.0426871694,5806173.4739897195,41.6,1
1759745786.143,121626.143,619495.0023161215,5806173.146200402,41.57,1
1759745786.143,121626.143,619494.2776666129,5806170.638028074,41.57,1
